acl 2.2.53-3
libxt 1.2.0-2
libxtst 1.2.3-4
libxv 1.0.11-4
libxvmc 1.0.12-3
libxxf86vm 1.1.4-4
licenses 20200427-1
linux 5.7.12.artix1-1
linux-api-headers 5.6.11-1
linux-firmware 20200721.2b823fc-1
linux-headers 5.7.12.artix1-1
llvm-libs 10.0.1-1
lm_sensors 3.6.0-2
logrotate 3.17.0-1.1
lz4 1:1.9.2-2
lzo 2.10-3
m4 1.4.18-3
make 4.3-3
man-db 2.9.3-1
mesa 20.1.5-1
mkinitcpio 28-1
mkinitcpio-busybox 1.31.1-1
mobile-broadband-provider-info 20190618-2
mpfr 4.0.2-2
mtdev 1.1.6-1
ncurses 6.2-1
nettle 3.6-1
network-manager-applet 1.18.0-1
networkmanager 1.26.0-1
networkmanager-runit 20180226-2
nitrogen 1.6.1-3
nm-connection-editor 1.18.0-1
noto-fonts 20190926-4
npth 1.6-2
nspr 4.27-1
nss 3.55-2
openjpeg2 2.3.1-2
openssl 1.1.1.g-2
opensysusers 0.6-1
opentmpfiles 0.2-9
p11-kit 0.23.20-5
pacman 5.2.2-1
pam 1.3.1-2
pambase 20190105.1-2
pamixer 1.4-3
pango 1:1.44.7+11+g73b46b04-1
pangomm 2.42.1-2
patch 2.7.6-9
pciutils 3.7.0-1
pcre 8.44-1
pcre2 10.35-1
perl 5.32.0-1
perl-error 0.17029-2
perl-mailtools 2.21-4
perl-timedate 2.33-2
pinentry 1.1.0-5
pixman 0.40.0-1
pkgconf 1.7.3-1
playerctl 2.2.1-1
polkit 0.117-1
poppler 0.90.1-1
popt 1.18-1
procps-ng 3.3.16-2
psmisc 23.3-2
qpdf 10.0.1-1
readline 8.0.004-1
rest 0.8.1-3
run-parts 4.8.6.1-2
runit 2.1.2-21
runit-rc 20200413-2
sed 4.8-1
shadow 4.8.1-3
shared-mime-info 2.0+1+g6bf9e4f-2
slang 2.3.2-2
sound-theme-freedesktop 0.8-4
sqlite 3.32.3-1
sudo 1.9.2-1
tar 1.32-3
tdb 1.4.3-2
texinfo 6.7-3
ttf-font-awesome 5.14.0-1
tzdata 2020a-1
util-linux 2.36-1
vim 8.2.0814-3
vim-runtime 8.2.0814-3
vulkan-icd-loader 1.2.148-1
wayland 1.18.0-2
wayland-protocols 1.20-1
wget 1.20.3-3
which 2.21-5
wpa_supplicant 2:2.9-7
xcb-proto 1.14-1
xcb-util 0.4.0-3
xcb-util-image 0.4.0-3
xcb-util-keysyms 0.4.0-3
xcb-util-renderutil 0.3.9-3
xcb-util-wm 0.4.1-3
xdg-user-dirs 0.17-3.1
xdg-utils 1.1.3+19+g9816ebb-1
xf86-input-libinput 0.30.0-1
xf86-video-intel 1:2.99.917+908+g7181c5a4-1
xf86-video-vesa 2.4.0-3
xkeyboard-config 2.30-2
xorg-bdftopcf 1.1-2
xorg-docs 1.7.1-3
xorg-font-util 1.3.2-2
xorg-fonts-100dpi 1.0.3-7
xorg-fonts-75dpi 1.0.3-7
xorg-fonts-alias-100dpi 1.0.3-5
xorg-fonts-alias-75dpi 1.0.3-5
xorg-fonts-encodings 1.0.5-2
xorg-iceauth 1.0.8-2
xorg-luit 1.1.1-4
xorg-mkfontscale 1.2.1-2
xorg-server 1.20.8-3
xorg-server-common 1.20.8-3
xorg-server-devel 1.20.8-3
xorg-server-xephyr 1.20.8-3
xorg-server-xnest 1.20.8-3
xorg-server-xvfb 1.20.8-3
